filepath,label,split
data/image/Vegetable Images/test/Capsicum/1179.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1151.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1145.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1192.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1186.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1019.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1025.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1031.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1030.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1024.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1018.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1187.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1193.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1144.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1150.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1178.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1146.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1152.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1185.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1191.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1032.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1026.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1027.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1033.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1190.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1184.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1153.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1147.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1143.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1157.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1180.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1194.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1037.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1023.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1022.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1036.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1195.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1181.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1156.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1142.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1154.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1140.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1168.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1197.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1183.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1020.jpg,Capsicum,test
data/image/Vegetable Images/test/Capsicum/1034.jpg,Capsicum,test
