epoch,step,train/acc_epoch,train/acc_step,train/loss_epoch,train/loss_step,val/acc,val/f1_macro,val/loss
0,9,,0.0625,,nan,,,
0,19,,0.09375,,nan,,,
0,29,,0.03125,,nan,,,
0,39,,0.09375,,nan,,,
0,49,,0.0625,,nan,,,
0,59,,0.09375,,nan,,,
0,69,,0.125,,nan,,,
0,79,,0.03125,,nan,,,
0,89,,0.125,,nan,,,
0,99,,0.09375,,nan,,,
0,109,,0.09375,,nan,,,
0,119,,0.03125,,nan,,,
0,129,,0.03125,,nan,,,
0,139,,0.125,,nan,,,
0,149,,0.0,,nan,,,
0,159,,0.03125,,nan,,,
0,169,,0.125,,nan,,,
0,179,,0.09375,,nan,,,
0,189,,0.0,,nan,,,
0,199,,0.09375,,nan,,,
0,209,,0.09375,,nan,,,
0,219,,0.09375,,nan,,,
0,229,,0.03125,,nan,,,
0,239,,0.03125,,nan,,,
0,249,,0.03125,,nan,,,
0,259,,0.0,,nan,,,
0,269,,0.03125,,nan,,,
0,279,,0.0625,,nan,,,
0,289,,0.03125,,nan,,,
0,299,,0.0625,,nan,,,
0,309,,0.0,,nan,,,
0,319,,0.09375,,nan,,,
0,329,,0.0625,,nan,,,
0,339,,0.125,,nan,,,
0,349,,0.0625,,nan,,,
0,359,,0.0625,,nan,,,
0,369,,0.0,,nan,,,
0,379,,0.03125,,nan,,,
0,389,,0.0625,,nan,,,
0,399,,0.09375,,nan,,,
0,409,,0.03125,,nan,,,
0,419,,0.09375,,nan,,,
0,429,,0.0625,,nan,,,
0,439,,0.0625,,nan,,,
0,449,,0.0625,,nan,,,
0,459,,0.0625,,nan,,,
0,468,,,,,0.06666667014360428,0.008333333767950535,nan
0,468,0.0663333311676979,,nan,,,,
1,469,,0.09375,,nan,,,
1,479,,0.03125,,nan,,,
1,489,,0.09375,,nan,,,
1,499,,0.0,,nan,,,
1,509,,0.09375,,nan,,,
1,519,,0.0,,nan,,,
1,529,,0.0625,,nan,,,
1,539,,0.0625,,nan,,,
1,549,,0.09375,,nan,,,
1,559,,0.09375,,nan,,,
1,569,,0.0625,,nan,,,
1,589,,0.0625,,nan,,,
1,599,,0.03125,,nan,,,
1,609,,0.03125,,nan,,,
1,619,,0.03125,,nan,,,
1,629,,0.09375,,nan,,,
1,639,,0.09375,,nan,,,
